,PLATAFORMA,GLOBAL_VENTAS
0,2600,0.7299248120300752
1,3DO,0.03333333333333333
2,3DS,0.4861689587426326
3,DC,0.3071153846153846
4,DS,0.3802542764678687
5,GB,2.6066326530612245
6,GBA,0.38746958637469586
7,GC,0.3585611510791367
8,GEN,1.0503703703703704
9,GG,0.04
10,N64,0.6861442006269592
11,NES,2.561938775510204
12,NG,0.12
13,PC,0.26960416666666664
14,PCFX,0.03
15,PS,0.6109197324414716
16,PS2,0.5810458121240167
17,PS3,0.7207223476297968
18,PS4,0.8276785714285715
19,PSP,0.24425391591096457
20,PSV,0.14995157384987892
21,SAT,0.1941618497109827
22,SCD,0.3116666666666667
23,SNES,0.8370292887029289
24,TG16,0.08
25,WS,0.23666666666666666
26,Wii,0.6994037735849057
27,WiiU,0.5724475524475524
28,X360,0.7746719367588933
29,XB,0.31342233009708736
30,XOne,0.6622535211267606
